index,from_date,to_date,start_time,end_time,ut_end_time,sl,ut_sl,options_multiplier,day,slipage,run
FINNIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,4,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,4,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,4,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,4,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,4,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,4,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,5,1.25,True
FINNIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:20:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:24:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:28:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:32:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:36:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:40:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:44:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:48:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:52:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:56:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:00:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:04:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:08:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:12:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:16:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:20:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:24:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:28:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:32:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:36:00,15:29:00,,100,50,0.3,1,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,2,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,3,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,4,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,5,1.25,True
MIDCPNIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,5,1.25,True
NIFTY,01-01-2024,30-01-2024,09:20:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:24:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:28:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:32:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:36:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:40:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:44:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:48:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:52:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:56:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:00:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:04:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:08:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:12:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:16:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:20:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:24:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:28:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:32:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,10:36:00,15:29:00,,100,50,0.3,1,1.0,True
NIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,2,1.0,True
NIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,3,1.0,True
NIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,4,1.0,True
NIFTY,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,5,1.0,True
NIFTY,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,5,1.0,True
SENSEX,01-01-2024,30-01-2024,09:20:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:24:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:28:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:32:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:36:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:40:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:44:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:48:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:52:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:56:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:00:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:04:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:08:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:12:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:16:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:20:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:24:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:28:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:32:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,10:36:00,15:29:00,,100,50,0.3,1,1.25,True
SENSEX,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:48:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:52:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:56:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:00:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:04:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:08:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:12:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:16:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:20:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:24:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:28:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:32:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,10:36:00,15:25:00,,100,50,0.3,2,1.25,True
SENSEX,01-01-2024,30-01-2024,09:20:00,15:25:00,,100,50,0.3,3,1.25,True
SENSEX,01-01-2024,30-01-2024,09:24:00,15:25:00,,100,50,0.3,3,1.25,True
SENSEX,01-01-2024,30-01-2024,09:28:00,15:25:00,,100,50,0.3,3,1.25,True
SENSEX,01-01-2024,30-01-2024,09:32:00,15:25:00,,100,50,0.3,3,1.25,True
SENSEX,01-01-2024,30-01-2024,09:36:00,15:25:00,,100,50,0.3,3,1.25,True
SENSEX,01-01-2024,30-01-2024,09:40:00,15:25:00,,100,50,0.3,3,1.25,True
SENSEX,01-01-2024,30-01-2024,09:44:00,15:25:00,,100,50,0.3,3,1.25,True
